,ME,R,measured_displacement,t,axis,dimension,filename,from,position,rsa_axis,to,true_displacement,displacement_error
19,0.014327973282742656,"[[0.9999999885456665, 6.820145838261543e-05, -0.00013511931039313796], [-6.820251765252807e-05, 0.9999999976435155, -7.834920854884282e-06], [0.00013511877572189497, 7.844136242524566e-06, 0.9999999908406929]]",43.06844032263208,"[0.04306844032263208, -0.002199098869864104, -0.005213451647782514]",x,0,delta x at isocenter.yaml,dx100,isocenter,Ant-Post,dx150,50.0,-6.931559677367922
20,0.015892130751353335,"[[0.9999999286603681, 0.00036147212937750426, 0.00010962280424406103], [-0.0003614788277174531, 0.9999999328005403, 6.108987297636048e-05], [-0.00010960071459060695, -6.112949494054604e-05, 0.9999999921254343]]",66.6816920617756,"[0.06668169206177561, 0.008574237472561412, 0.006389539684584683]",x,0,delta x at isocenter.yaml,dx100,isocenter,Ant-Post,dx200,100.0,-33.31830793822439
21,0.017550744562698863,"[[0.9999998893964879, 0.00042868015943309663, 0.00019349504794732533], [-0.0004286475273533188, 0.9999998939082989, -0.00016865553324868317], [-0.00019356732670022052, 0.0001685725734209441, 0.9999999670574877]]",132.01225290003293,"[0.13201225290003293, 0.005201297016226033, -0.008843311720781344]",x,0,delta x at isocenter.yaml,dx100,isocenter,Ant-Post,dx250,150.0,-17.987747099967066
22,0.024160728133780736,"[[0.9999997416336611, 0.0007086330486811259, 0.00012071376780087773], [-0.0007086228440399242, 0.9999997453518017, -8.45576528765938e-05], [-0.00012077365740879528, 8.447209049651766e-05, 0.999999989139095]]",169.8927518874811,"[0.1698927518874811, -0.00035896191604527466, 0.0027069399655325864]",x,0,delta x at isocenter.yaml,dx100,isocenter,Ant-Post,dx300,200.0,-30.107248112518903
23,0.03629128354786697,"[[0.9999990779706841, 0.0011077762818356017, 0.0007854231284616473], [-0.001107481477947682, 0.9999993161745511, -0.0003756796588331303], [-0.000785838760385172, 0.00037480947087778266, 0.99999962098758]]",220.22105240752663,"[0.22022105240752662, 0.0017155520939137368, 0.002258747141778728]",x,0,delta x at isocenter.yaml,dx100,isocenter,Ant-Post,dx350,250.0,-29.778947592473372
24,0.037283556644261216,"[[0.9999996015233512, 0.0008298789946996341, 0.00032901974743033784], [-0.0008298180524883697, 0.9999996385297705, -0.00018531683269437795], [-0.0003291734190462761, 0.0001850437323243768, 0.9999999287018363]]",278.43412419583507,"[0.2784341241958351, -8.618282650526921e-05, 0.009480411272954419]",x,0,delta x at isocenter.yaml,dx100,isocenter,Ant-Post,dx400,300.0,-21.565875804164932
25,0.0559450773592276,"[[0.9999989457252794, 0.0010807478652883995, 0.0009698104875995416], [-0.001080385179071267, 0.9999993462876627, -0.0003744223703688958], [-0.0009702145098000291, 0.00037337420674766943, 0.9999994596376077]]",341.6457908257574,"[0.3416457908257574, -0.0034557594350924834, -0.0005030876183127435]",x,0,delta x at isocenter.yaml,dx100,isocenter,Ant-Post,dx450,350.0,-8.354209174242612
26,0.07502859318196516,"[[0.999997193207791, 0.0023345473067188376, 0.0004043085615569109], [-0.0023342848602870224, 0.9999970653518729, -0.0006483840168877582], [-0.0004058210582138195, 0.0006474384256545261, 0.9999997080663341]]",423.581576563325,"[0.42358157656332496, -0.008375953356943236, -0.0010856907047533618]",x,0,delta x at isocenter.yaml,dx100,isocenter,Ant-Post,dx500,400.0,23.581576563324973
27,0.0068340949796971626,"[[0.9999999269866972, 0.000293410682072332, 0.00024481987790076734], [-0.0002934275837239783, 0.9999999545693476, 6.900402636805144e-05], [-0.0002447996202597013, -6.90758582347796e-05, 0.9999999676508351]]",23.59599128351521,"[0.02359599128351521, 0.010759698691445456, 0.011605033775077392]",x,0,delta x at isocenter.yaml,dx150,isocenter,Ant-Post,dx200,50.0,-26.40400871648479
28,0.014161478583376472,"[[0.9999998810251831, 0.0003605063573008458, 0.00032861038559670324], [-0.0003604534836632503, 0.9999999220848784, -0.00016094571541482673], [-0.0003286683819468145, 0.00016082724750822588, 0.9999999330558434]]",88.94207164115794,"[0.08894207164115794, 0.007397338080026425, -0.0036315937730039727]",x,0,delta x at isocenter.yaml,dx150,isocenter,Ant-Post,dx250,100.0,-11.057928358842062
